filename,activity_id,activities,watch_loc,path_idx,step_count
train_trace_040.pkl,0,"[0, 1, 3]",2,3,-1.0
train_trace_068.pkl,1,[1],0,1,-1.0
train_trace_056.pkl,1,[1],2,3,
train_trace_042.pkl,0,"[0, 1]",2,4,
train_trace_095.pkl,1,[1],2,2,
train_trace_081.pkl,1,[1],1,4,
train_trace_268.pkl,1,[1],0,3,-1.0
train_trace_254.pkl,0,"[0, 1]",1,1,
train_trace_240.pkl,0,"[0, 1, 2]",1,3,-1.0
train_trace_297.pkl,0,"[0, 1, 2, 1, 0, 1, 2, 1]",0,3,
train_trace_283.pkl,1,[1],0,3,
train_trace_308.pkl,3,[3],1,0,
train_trace_320.pkl,1,"[1, 2]",2,1,
train_trace_334.pkl,0,"[0, 1]",2,2,-1.0
train_trace_122.pkl,0,"[0, 1]",0,1,-1.0
train_trace_136.pkl,1,"[1, 2]",2,4,936.0
train_trace_137.pkl,0,"[0, 1]",0,2,
train_trace_123.pkl,0,"[0, 1, 2]",2,4,
train_trace_335.pkl,1,[1],1,2,-1.0
train_trace_321.pkl,1,[1],1,3,1018.0
train_trace_309.pkl,1,[1],0,4,-1.0
train_trace_282.pkl,2,[2],0,4,-1.0
train_trace_296.pkl,1,"[1, 0, 1]",0,1,
train_trace_241.pkl,1,[1],0,3,
train_trace_255.pkl,1,"[1, 3]",1,2,-1.0
train_trace_269.pkl,1,[1],0,0,-1.0
train_trace_080.pkl,1,[1],2,2,
train_trace_094.pkl,0,"[0, 1, 2]",1,1,-1.0
train_trace_043.pkl,0,"[0, 1, 3]",2,3,-1.0
train_trace_057.pkl,1,[1],2,1,
train_trace_030.pkl,1,[1],1,2,-1.0
train_trace_024.pkl,2,"[2, 3]",2,2,
train_trace_018.pkl,1,[1],0,3,
train_trace_232.pkl,1,[1],2,0,
train_trace_226.pkl,0,"[0, 1]",0,0,-1.0
train_trace_346.pkl,1,[1],0,0,
train_trace_352.pkl,1,[1],2,0,-1.0
train_trace_385.pkl,1,[1],2,2,-1.0
train_trace_391.pkl,1,[1],1,3,
train_trace_144.pkl,1,[1],1,3,
train_trace_150.pkl,1,[1],2,1,
train_trace_178.pkl,1,[1],2,2,-1.0
train_trace_187.pkl,3,[3],1,4,-1.0
train_trace_193.pkl,1,[1],2,2,
train_trace_192.pkl,0,"[0, 1, 2]",1,1,
train_trace_186.pkl,1,"[1, 2, 1]",0,3,
train_trace_179.pkl,1,[1],1,4,-1.0
train_trace_151.pkl,0,"[0, 1, 2]",1,3,-1.0
train_trace_145.pkl,1,[1],2,1,-1.0
train_trace_390.pkl,1,[1],0,4,-1.0
train_trace_384.pkl,1,[1],0,2,
train_trace_353.pkl,1,[1],0,2,
train_trace_347.pkl,1,[1],0,3,-1.0
train_trace_227.pkl,1,"[1, 2]",1,4,-1.0
train_trace_233.pkl,1,[1],2,1,
train_trace_019.pkl,1,[1],2,2,-1.0
train_trace_025.pkl,1,[1],1,3,-1.0
train_trace_031.pkl,1,[1],0,1,
train_trace_027.pkl,1,[1],0,2,
train_trace_033.pkl,2,[2],2,2,
train_trace_225.pkl,1,[1],1,3,
train_trace_231.pkl,1,[1],1,1,-1.0
train_trace_219.pkl,1,[1],0,2,
train_trace_351.pkl,0,"[0, 1, 3]",0,3,287.0
train_trace_345.pkl,0,"[0, 1]",2,4,-1.0
train_trace_379.pkl,1,[1],2,3,
train_trace_392.pkl,2,"[2, 3]",1,3,
train_trace_386.pkl,0,"[0, 1]",0,3,
train_trace_153.pkl,1,"[1, 2]",1,4,706.0
train_trace_147.pkl,1,[1],0,3,-1.0
train_trace_190.pkl,0,"[0, 1, 3]",2,2,
train_trace_184.pkl,1,[1],2,4,
train_trace_185.pkl,3,[3],2,0,0.0
train_trace_191.pkl,1,[1],1,4,
train_trace_146.pkl,1,[1],0,1,-1.0
train_trace_152.pkl,1,"[1, 3]",1,4,
train_trace_387.pkl,1,[1],0,3,
train_trace_393.pkl,1,[1],0,0,
train_trace_378.pkl,1,[1],1,2,
train_trace_344.pkl,1,"[1, 2]",0,4,-1.0
train_trace_350.pkl,0,"[0, 1, 2]",1,1,-1.0
train_trace_218.pkl,1,[1],2,2,
train_trace_230.pkl,3,[3],2,1,
train_trace_224.pkl,1,[1],0,0,-1.0
train_trace_032.pkl,1,[1],0,1,
train_trace_026.pkl,0,"[0, 1, 2]",1,4,
train_trace_022.pkl,1,[1],0,4,-1.0
train_trace_036.pkl,1,"[1, 0, 1, 2, 0, 1]",2,3,
train_trace_208.pkl,1,"[1, 0, 1, 2, 1, 0, 2, 1]",2,1,
train_trace_220.pkl,1,[1],2,4,-1.0
train_trace_234.pkl,0,"[0, 1, 3]",0,2,290.0
train_trace_368.pkl,1,[1],0,4,
train_trace_354.pkl,1,"[1, 3]",1,4,255.0
train_trace_340.pkl,0,"[0, 1]",0,3,-1.0
train_trace_383.pkl,1,"[1, 2]",0,1,960.0
train_trace_156.pkl,1,[1],0,1,-1.0
train_trace_142.pkl,1,[1],0,1,
train_trace_195.pkl,1,[1],2,4,
train_trace_181.pkl,1,[1],1,4,-1.0
train_trace_180.pkl,1,"[1, 3]",2,2,-1.0
train_trace_194.pkl,1,[1],1,4,
train_trace_143.pkl,1,[1],1,0,
train_trace_157.pkl,1,[1],2,0,
train_trace_382.pkl,1,[1],2,4,
train_trace_341.pkl,1,[1],2,0,
train_trace_355.pkl,1,[1],1,3,-1.0
train_trace_369.pkl,0,"[0, 1]",0,1,-1.0
train_trace_235.pkl,1,[1],1,0,
train_trace_221.pkl,1,"[1, 2, 1]",0,0,
train_trace_209.pkl,1,"[1, 2]",2,0,
train_trace_037.pkl,1,[1],2,4,
train_trace_023.pkl,1,"[1, 0]",0,2,
train_trace_009.pkl,2,"[2, 1, 0, 1]",1,2,
train_trace_035.pkl,1,[1],0,4,-1.0
train_trace_021.pkl,3,[3],2,0,0.0
train_trace_237.pkl,1,[1],2,1,
train_trace_223.pkl,0,"[0, 1, 3]",1,2,303.0
train_trace_343.pkl,0,"[0, 1]",2,4,
train_trace_357.pkl,1,[1],2,2,-1.0
train_trace_380.pkl,3,[3],2,3,-1.0
train_trace_394.pkl,0,"[0, 1]",1,3,-1.0
train_trace_169.pkl,0,"[0, 1, 2]",2,0,-1.0
train_trace_141.pkl,0,"[0, 1]",1,4,
train_trace_155.pkl,1,[1],1,1,-1.0
train_trace_182.pkl,1,[1],1,4,-1.0
train_trace_196.pkl,1,[1],2,3,-1.0
train_trace_197.pkl,1,[1],2,0,-1.0
train_trace_183.pkl,3,[3],1,1,
train_trace_154.pkl,1,"[1, 2, 1, 0, 1, 0, 2]",0,4,
train_trace_140.pkl,0,"[0, 1]",0,2,
train_trace_168.pkl,0,"[0, 1]",0,4,
train_trace_395.pkl,0,"[0, 1]",0,0,-1.0
train_trace_381.pkl,0,"[0, 1]",0,1,-1.0
train_trace_356.pkl,2,[2],0,0,
train_trace_342.pkl,2,"[2, 1, 2]",2,1,
train_trace_222.pkl,1,"[1, 2]",2,3,
train_trace_236.pkl,1,[1],1,3,
train_trace_020.pkl,1,[1],0,2,
train_trace_034.pkl,1,[1],2,1,
train_trace_008.pkl,1,"[1, 2]",1,3,
train_trace_011.pkl,0,"[0, 1, 2]",2,3,-1.0
train_trace_005.pkl,1,[1],2,2,-1.0
train_trace_039.pkl,1,"[1, 2]",2,1,-1.0
train_trace_213.pkl,1,[1],1,0,-1.0
train_trace_207.pkl,0,"[0, 1, 2]",1,4,-1.0
train_trace_367.pkl,1,[1],0,0,
train_trace_373.pkl,1,[1],0,0,-1.0
train_trace_165.pkl,1,[1],1,0,-1.0
train_trace_171.pkl,1,"[1, 0, 2, 1]",1,0,
train_trace_159.pkl,0,"[0, 1]",1,0,-1.0
train_trace_158.pkl,1,[1],0,0,-1.0
train_trace_170.pkl,1,[1],2,4,
train_trace_164.pkl,1,"[1, 2]",2,3,-1.0
train_trace_372.pkl,1,[1],2,2,-1.0
train_trace_366.pkl,3,[3],2,0,
train_trace_206.pkl,1,[1],1,4,-1.0
train_trace_212.pkl,1,"[1, 3]",2,4,245.0
train_trace_038.pkl,1,[1],0,1,-1.0
train_trace_004.pkl,1,[1],1,4,1023.0
train_trace_010.pkl,0,"[0, 1]",2,1,
train_trace_006.pkl,3,[3],0,4,-1.0
train_trace_012.pkl,0,"[0, 1, 2, 3]",0,3,-1.0
train_trace_204.pkl,1,[1],0,1,
train_trace_210.pkl,0,"[0, 1]",0,4,1077.0
train_trace_238.pkl,1,[1],0,0,-1.0
train_trace_370.pkl,1,[1],2,4,-1.0
train_trace_364.pkl,1,[1],1,3,
train_trace_358.pkl,1,[1],1,4,
train_trace_172.pkl,1,[1],0,0,-1.0
train_trace_166.pkl,3,[3],1,0,
train_trace_199.pkl,1,[1],2,1,-1.0
train_trace_198.pkl,1,[1],2,3,-1.0
train_trace_167.pkl,1,"[1, 2]",2,4,
train_trace_173.pkl,1,[1],2,2,
train_trace_359.pkl,3,[3],2,0,
train_trace_365.pkl,1,[1],2,0,
train_trace_371.pkl,1,[1],0,1,-1.0
train_trace_239.pkl,1,"[1, 2]",0,3,
train_trace_211.pkl,2,[2],1,4,
train_trace_205.pkl,1,"[1, 2]",1,4,-1.0
train_trace_013.pkl,1,[1],1,2,-1.0
train_trace_007.pkl,1,[1],0,4,-1.0
train_trace_003.pkl,1,[1],0,2,
train_trace_017.pkl,3,[3],0,0,0.0
train_trace_229.pkl,1,"[1, 0, 1]",2,2,
train_trace_201.pkl,0,"[0, 1]",1,1,-1.0
train_trace_215.pkl,1,"[1, 0, 1]",1,0,
train_trace_349.pkl,1,[1],0,2,
train_trace_375.pkl,1,[1],0,4,
train_trace_361.pkl,1,"[1, 3]",0,1,147.0
train_trace_177.pkl,1,[1],1,1,-1.0
train_trace_163.pkl,0,"[0, 1, 2, 3]",1,3,
train_trace_188.pkl,1,[1],0,1,-1.0
train_trace_189.pkl,1,"[1, 3]",0,2,
train_trace_162.pkl,1,[1],0,3,
train_trace_176.pkl,1,[1],2,1,-1.0
train_trace_360.pkl,3,[3],1,0,
train_trace_374.pkl,1,[1],0,0,
train_trace_348.pkl,0,"[0, 1]",0,3,
train_trace_214.pkl,0,"[0, 1, 3]",2,3,298.0
train_trace_200.pkl,1,"[1, 3]",2,4,168.0
train_trace_228.pkl,1,[1],0,2,-1.0
train_trace_016.pkl,1,"[1, 2, 1]",1,1,
train_trace_002.pkl,1,[1],2,0,
train_trace_028.pkl,0,"[0, 1]",0,1,
train_trace_014.pkl,0,"[0, 1]",1,2,
train_trace_000.pkl,1,[1],0,0,-1.0
train_trace_216.pkl,1,[1],2,3,
train_trace_202.pkl,1,[1],2,2,-1.0
train_trace_362.pkl,1,[1],1,1,-1.0
train_trace_376.pkl,0,"[0, 1]",1,2,
train_trace_389.pkl,0,"[0, 1, 2]",0,0,
train_trace_148.pkl,1,[1],2,0,
train_trace_160.pkl,3,[3],1,0,
train_trace_174.pkl,1,[1],1,2,
train_trace_175.pkl,1,[1],1,3,
train_trace_161.pkl,1,"[1, 3]",1,1,154.0
train_trace_149.pkl,1,[1],1,2,-1.0
train_trace_388.pkl,1,"[1, 3]",0,4,277.0
train_trace_377.pkl,1,[1],1,2,
train_trace_363.pkl,1,[1],1,2,
train_trace_203.pkl,0,"[0, 1]",2,1,
train_trace_217.pkl,1,[1],1,1,
train_trace_001.pkl,0,"[0, 1]",1,1,
train_trace_015.pkl,2,[2],2,1,734.0
train_trace_029.pkl,1,"[1, 2]",2,4,
train_trace_072.pkl,1,"[1, 2, 1, 0, 1]",1,3,
train_trace_066.pkl,1,[1],1,1,
train_trace_099.pkl,0,"[0, 1, 0, 1, 2, 1]",1,1,
train_trace_270.pkl,1,"[1, 3]",0,3,-1.0
train_trace_264.pkl,1,[1],1,0,
train_trace_258.pkl,0,"[0, 1]",0,1,
train_trace_304.pkl,0,"[0, 1]",2,3,
train_trace_310.pkl,0,"[0, 1]",2,4,
train_trace_338.pkl,0,"[0, 1, 2]",2,4,
train_trace_106.pkl,0,"[0, 1]",0,4,-1.0
train_trace_112.pkl,1,[1],0,1,
train_trace_113.pkl,1,[1],2,0,-1.0
train_trace_107.pkl,1,[1],2,0,-1.0
train_trace_339.pkl,1,[1],0,2,
train_trace_311.pkl,1,[1],0,4,
train_trace_305.pkl,1,"[1, 2]",0,4,-1.0
train_trace_259.pkl,1,[1],1,2,-1.0
train_trace_265.pkl,1,[1],0,3,-1.0
train_trace_271.pkl,1,"[1, 2]",2,2,
train_trace_098.pkl,1,"[1, 3]",0,2,-1.0
train_trace_067.pkl,0,"[0, 1, 2]",2,4,-1.0
train_trace_073.pkl,1,"[1, 2]",0,4,
train_trace_065.pkl,1,"[1, 2]",1,4,
train_trace_071.pkl,1,"[1, 2]",1,1,
train_trace_059.pkl,0,"[0, 1]",1,3,
train_trace_267.pkl,1,[1],0,2,
train_trace_273.pkl,1,[1],1,0,-1.0
train_trace_298.pkl,1,[1],1,3,
train_trace_313.pkl,1,[1],2,0,-1.0
train_trace_307.pkl,1,[1],1,2,-1.0
train_trace_111.pkl,1,[1],1,2,
train_trace_105.pkl,1,[1],2,0,
train_trace_139.pkl,0,"[0, 1]",2,3,
train_trace_138.pkl,1,[1],2,3,
train_trace_104.pkl,1,[1],2,3,-1.0
train_trace_110.pkl,1,"[1, 3]",1,4,192.0
train_trace_306.pkl,1,[1],2,4,
train_trace_312.pkl,1,"[1, 0, 1, 2, 1]",2,4,
train_trace_299.pkl,0,"[0, 1]",1,0,
train_trace_272.pkl,1,"[1, 2]",0,1,
train_trace_266.pkl,1,[1],0,1,
train_trace_058.pkl,1,[1],0,0,-1.0
train_trace_070.pkl,0,"[0, 1, 3]",2,1,
train_trace_064.pkl,1,[1],0,3,
train_trace_048.pkl,1,[1],1,4,
train_trace_060.pkl,1,[1],0,0,
train_trace_074.pkl,2,[2],2,4,698.0
train_trace_262.pkl,1,[1],2,0,
train_trace_276.pkl,1,"[1, 3]",2,2,
train_trace_289.pkl,1,[1],2,0,
train_trace_316.pkl,1,"[1, 3]",0,1,
train_trace_302.pkl,1,"[1, 2, 0, 1, 2, 1, 2]",0,2,
train_trace_128.pkl,1,[1],0,2,
train_trace_114.pkl,1,[1],2,0,-1.0
train_trace_100.pkl,1,[1],2,1,-1.0
train_trace_101.pkl,1,[1],1,1,
train_trace_115.pkl,1,[1],0,4,-1.0
train_trace_129.pkl,2,[2],0,1,766.0
train_trace_303.pkl,0,"[0, 1]",1,2,-1.0
train_trace_317.pkl,0,"[0, 1]",2,4,-1.0
train_trace_288.pkl,0,"[0, 1]",1,4,
train_trace_277.pkl,0,"[0, 1]",0,4,
train_trace_263.pkl,1,[1],2,0,-1.0
train_trace_075.pkl,3,[3],0,1,-1.0
train_trace_061.pkl,1,[1],1,1,
train_trace_049.pkl,1,[1],2,1,-1.0
train_trace_077.pkl,1,[1],1,0,
train_trace_063.pkl,1,[1],2,3,
train_trace_088.pkl,1,[1],1,3,
train_trace_249.pkl,1,[1],0,0,
train_trace_275.pkl,0,"[0, 1, 2]",0,2,
train_trace_261.pkl,1,[1],1,1,
train_trace_329.pkl,0,"[0, 1, 3]",2,0,-1.0
train_trace_301.pkl,1,[1],1,2,
train_trace_315.pkl,1,[1],2,0,-1.0
train_trace_103.pkl,1,[1],2,4,
train_trace_117.pkl,1,"[1, 0, 1, 2, 0, 1, 0, 1]",1,0,
train_trace_116.pkl,1,"[1, 3]",2,4,168.0
train_trace_102.pkl,1,[1],1,1,-1.0
train_trace_314.pkl,1,[1],1,4,
train_trace_300.pkl,1,"[1, 2]",1,0,
train_trace_328.pkl,1,[1],1,0,
train_trace_260.pkl,1,[1],0,4,-1.0
train_trace_274.pkl,1,"[1, 2]",0,4,
train_trace_248.pkl,3,[3],1,3,-1.0
train_trace_089.pkl,1,[1],0,3,-1.0
train_trace_062.pkl,1,[1],0,0,
train_trace_076.pkl,1,[1],1,0,-1.0
